comment,sentiment
雖然今日私了係出返一口氣，但對國際戰線會唔會有負面影響？,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
#hehe#,0
打得好,1
唔會,0
唔會,0
on9,0
唔會,0
唔會,0
唔會,0
唔會,0
Never利申: 外國勢力,0
Don’t doubt what u do,1
唔會,1
唔會,1
大家欣賞完就del 片唔好周圍share la,1
一定唔會,0
唔會 完 不推文,1
no,0
唔會,0
"係地區打架,關示威事嗎?",0
唔會,0
唔會,0
唔會，因為先撩者賤係普世價值,0
ON撚9 人地覺得咁做先正常呀柒頭被人傻鳩鳩咁打唔還手 被人笑鳩左好耐啦,0
屌，咪on9啦打拳頭交此po已完,0
今日終於見番何謂~正義,0
唔會,0
唔會,0
唔會,1
唔會,1
唔會,1
no,1
911俾人炸美軍出兵得咩人會反對？咪得?自以為是既大愛和平左膠囉,1
"係地區打架,關示威事嗎?仆親?咪大驚小怪",1
唔知，但手足做得好！,1
唔會！,1
話?知你南極有咩意見自己香港自己救,1
唔會 你收皮ok,0
唔會,1
保護自己人人有責,1
呢d叫Hongkonger finally strike back,1
唔會,1
唔會,1
唔會,1
唔會。見唔到有私了，只係有仆街仆街。,1
on99黑狗打人藍絲有冇話咪撚打呀驚影響狗隊聲譽呀,1
有哂片，日頭佢地集結係北角出黎打人先既,1
好似警慌咁做好輿論 文宣,1
唔會,1
唔會,1
世界上有邊個地方係只有黑社會打人但唔比平民還拖,1
唔會,1
唔好打頭喇 打斷手手腳腳咪算,1
"打共產黨員, 有咩問題?",1
唔會，你看都無爛玻璃,1
唔會,1
我地係自衛幫手去twitter解釋前因後果,1
唔會,1
唔會,1
做返好文宣 大家要幫手開Twitter ac,1
"立場影到，起正隔離出摺?都無事，仲要同班狗一齊""推進""，仲聽到個福建佬同班狗講話唔好阻住我做野
#ng#",1
手足保護手足 制服反中亂港暴民,0
唔會,0
唔會,0
唔會,0
on99 駛唔駛又唱首今天我呀,0
"痴線 明明係驚察臥底做 咪老屈
#haha#dog
#hehe#dog",0
唔會,0
唔會,0
正常人思想係會問點解條友會畀人打。係藍絲廢老先會問點解要打果條友。,0
國際都見倒我地俾人打足3個月啦....,0
還拖姐 本身你唔搞人咪唔搞你,0
721 811 831 同埋千幾個義士諗返轉頭就覺得今日真係少事,0
我地係還拖，唔係襲擊平民，係班福建佬打人先,0
勇武仔好?！！,0
"#kill#
#kill#
#kill#
#kill#",0
唔會,0
唔會 福建佬與狗同行 仲用埋電油,0
"見到前7層都係答唔會省返我個句
#good#",0
唔會,0
打黑社會點會割,0
唔會,0
唔會 大力支持自衛,0
打得唔夠狠，可能會引黎外國批評,0
唔會,0
"唔會
#[flowerface]#mf",0
負面在太輕手,0
顯示 #1國際：咁都叫打交？,0
唔會,0
驚就上twitter做文宣,0
"唔會 香港人係自己地方打黑社會 根本天經地義Dear Americans, please help us to liberate Hong Kong!",0
"#drum#pig
#drum#pig
#drum#pig
#drum#pig",0
唔會,0
咁之前咁多單？我地忍到今日國際風向咁易轉？,0
唔會,0
負評不推文,0
"well done
#yup#mf",0
唔會,0
唔會,0
唔係私了係自衛反擊,0
唔會,0
"自衛行動與示威無關
#no#",0
唔會,0
攬炒就一定有負面影響,0
鬼佬唔一定幫香港,0
No,0
唔會,0
國際只會覺得你班香港人等左三個月先識得用拳頭去捍?自己的立場,0
"打下架好正常姐
#sowhat#pig",0
唔會,0
唔會唔好撚傻 次次俾人打完唔還手俾外國人笑到我地面都黃,0
唔會 自衛姐,0
唔會,0
"私人恩怨關示威咩事
#?_?#mf",0
如果人地知唔係我地主動郁手 只係自衛還擊 點會覺得有問題呀,0
"被人斬拎晒國際光環咁點係唔係你幫手足醫
#:o)#lm2
#:o)#lm2",0
顯示 #1唔打至大鑊，美國會以為香港已和平,0
對準政權同黑社會民心撚走啦,0
唔會,0
"唔知, 理性諗不想活在同溫層",0
前線自由發揮，文宣包底,0
唔會,0
佢地打人先~ 大家無錯! 叫埋D狗黎仲可以同班Fucking有講有笑~ 外國人見到都嬲啦!,0
唔會,0
唔還手比鬼佬笑添呀onlun9,0
唔私了先會有影響個個都笑鳩緊我地廢俾人打都唔識還手,0
如果今日咁會影響 咁721 831 仲有N咁多日國際會接受到 示威黎講 香港人真心已經好克制,0
先撩者賤， you know?但小心俾對家做黑材料要準備好還擊,0
睇文宣,0
自衛有咩影響？,0
唔撚會 放心,0
唔會,0
"睇片見到用左最低武力
#[bomb]#mf",0
唔會,0
"戇撚鳩
#:o)#mf",0
https://twitter.com/solomonyue/status/1173216888140136448?s=21,0
唔會,0
美國打緊大老虎想搵籍口郁佢會唔會因為有幾條友畀人打而唔幫你唔好咁天直啦人地幫我地係因為要郁強國唔係因為我地慘/ 熱切追求民主如果佢要幫 點解5年前唔幫？總之打得小心d唔好瞄頭打打唔死人就ok,0
唔會,0
No,0
你覺得聯合國會譴責打擊黑社會？,0
顯示 #1驚?咩藍絲夠打鳩人國際有?反應咩,0
戇鳩依家黑社會福建幫打人又掉玻璃樽,0
唔會咪撚推,0
唔會,0
平時唔私了，打不還手仲要畀黑警放生，對國際戰線有冇正面影響？,0
唔反擊對家只會變本加厲,0
國際戰線：中國共產黨聘請打手追打示威者，市民保鄉衛族，合理自衛,0
保安局局長李家超表示，相關人士在警方作出警告後仍在場，應自己評估風險。,0
"ON撚9 人地覺得咁做先正常呀柒頭被人傻鳩鳩咁打唔還手 被人笑鳩左好耐啦咪係同外國比呢d小兒科啦
[sosad]
[sosad]",0
打黑社會=正義 唔會有事,0
唔會,0
唔會,0
唔撚會,0
"好micro, 死埋都未必有人理",0
"打黑社會
#:)#mf",0
唔會,0
切勿做左膠,0
淨係share福建佬拎摺?打人就夠其他冷處理,0
唔會,0
其實會 同埋一個唔覺意死撚左人 普遍民意一定轉 實俾人??針對,0
"如果國際戰線有人問點解打市民, 要同佢地解釋佢地係福建人黎搞事, 警察唔理",0
唔會,0
只要唔係打得太重就唔會影響到法案通過,0
唔會,0
??叫黑社會 有人會可憐黑社會?,0
唔會,0
唔會,0
"好多垃圾自己仆親冇人叫你煲大件事
#xx(#mf",0
唔會,0
唔會,0
唔會,0
唔會,0
放心交俾文宣啦黑警雙重標準容許福建幫持武器市民自發清除福建幫,0
差佬唔做野 私了好正常,0
唔會,0
顯示 #1雖然係唔理想，但自雨傘開始，黑警選擇執法，藍絲打人唔拉，拉被打個位，問題始終會爆發,0
出黎示威有風險俾人打，出黎打人亦有風險俾人打返中，以前報警歡送你走，宜家換?拳頭,0
唔會,0
唔會,0
人地笑鳩你打不還手呀,0
"外國日日都發生街頭打鬥
#:)#dog",0
最多咪去Twitter 幫手辯解,0
唔會,0
廢撚事同你解釋唔會,0
絕不,0
唔會,0
"藍屍得罪咁多人 點知點解比人打
#:)#mf",0
國際見到只會覺得香港人仲值得救 唔係下下淨係要外力幫,0
"會爭取多左支持 朋友個仔話早排唔識還手都唔諗住支持今日見到識私了就想錫春袋
#^3^#mf",0
"烏克蘭示威者係借鏡所以唔會
#O:-)#mf",0
唔會,0
冇文宣?話就會,0
Don’t be so on9 ok?,0
block 得,0
唔會,0
文宣 831 死左人所以香港市民好憤怒,0
On9,0
唔會,0
唔會,0
是你教我報警沒有用,0
唔會,0
"烏克蘭示威者係借鏡所以唔會 係 有一個chapter講
#O:-)#mf
#good#mf",0
"會啊 外國人會更加欣賞香港人 因為識還拖 唔係東亞病夫
#good#mf",0
"國際戰線留比我地打勇武唔好擔心
#kill#
:)",0
打黑社會係為民除害,0
你都傻既6月到而家先有私了都嫌遲啦同埋會私了都係仆街政苦逼出黎,0
唔好諗人地國會幫你啦，自己香港自己教，我敢講就算出老解，國際都唔敢幫拖，最多嚴重譴責，老美到而家除左放口水 仲有咩實際野做過？,0
唔會 鬼佬覺得你地過?三個月先識私了太慢啦,0
O:-),0
唔會 做多?文宣講好前因後果,0
唔會,0
唔會,0
唔會,0
請善用不推文回覆,0
福建幫先撩者賤，有咩負面影響？,0
反應正面,0
外國不嬲笑鳩香港弱雞唔識餐手今次終於有番小小面子,0
所以要文宣,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
係咪要我地比人打死先得？佢地荃灣 將軍澳已經用刀斬手足 將軍澳個女手足仲用緊呼吸器維生 荃灣手足可能終身殘障,0
多人跣到！,0
唔會,0
唔會 但安全起見可以候定文宣解釋,0
責任係政府，警察度。,0
唔會,0
唔會,0
9隻眼過十名以死明志過千手足被捕無數被虐打 非禮強姦 各區市民受盡催淚彈污染國際戰線係重要但手足更重要 今日私了除左報仇 仲要令藍屍知道示威者會即時反撲如果能成破窗效應更好當今日連自己同身邊人既安全都保護唔到只靠用(別人)身軀擋子彈去換取國際關注是可等可悲自己香港自己救 只有先自救 才能回頭望到國際伸手,0
國際社會全力支持,0
唔會,0
del片,0
唔會,0
唔會,0
呢d叫Hongkonger finally strike back?聽，推你呢句,0
唔會,0
"國際戰線真係好撚有用呀!
[369]",0
無死就得啦,0
唔會,0
好難講...你無法否認外國係俾和理非行動感染.而一般外人睇衝突場面點都會反感...,0
"唔會國際戰線 警黑合作 私放黑幫人士
#kill#
#kill#
#kill#",0
我反而驚仲唔還手國際戰線真係會有影響笑鳩我?自己都打不還手點革命,0
"打得好, 班仆街廢老以為有黑警護住就做乜都唔驚呀?",0
顯示 #1屌你老母,0
唔通又要任得人打 正當防衛有錯？,0
"大佬，6月黎俾藍絲打左幾多獲？女記者俾藍絲斬到入廠到琴日九龍灣d細路係咁被班廢佬打有邊次係反擊？俾人打左50拳，今日先開始反擊咋小心俾外國人笑鳩懦弱仲好啦Btw, 你地無做錯到
#:-]#b",0
唔會,0
唔會 正當防衛,0
外國拎左好市民獎啦清理黑社會有咩問題？,0
我?係自衛,0
唔會,0
唔會如果私了幾個月可能會有影響但班藍絲廢老都係求財?打多幾次仲邊有人出,0
片？咩片呀？我凈係見到 …………白衣人打後生仔、警察拉被打後生仔、同埋警察保護打人的白衣人！,0
顯示 #1先聊者賤,0
一定唔L會,0
唔會喇警黑合作呢個無得拆勇武其實點做都得,0
"人?仆街都上新聞？
#ng#mf",0
唔會,0
蝙蝠俠都係私了撚,0
"唔還拖流血既就係義士們 721又點? 所以已經採取適當武力了
#[bouncer]#mf",0
"你講埋班福建佬點解擺鐵通摺凳等手足咪得想伏人唔夠人打
#haha#lm2",0
唔會,0
驚?咩,0
畀人打?咁多次唔見我?贏？on9,0
呢d好少事認真你唔還手反而人地覺得你太儒弱,0
唔私了係外國眼中先唔正常喎,0
唔會,0
巴打坐左幾多年,0
"唔係嘛, 我直頭跳左起身, 大嗌好野",0
唔會,0
唔會,0
唔會,0
有咩影響？武力係社會撕裂一定會出現既畫面，正如英國脫歐留歐兩批人都群毆，但都影響唔到其他國家點睇脫歐立場,0
"如果?狗當初冇放走黑社會都有可能會既
Z_Z
Z_Z
Z_Z",0
唔會,0
唔會,0
顯示 #1問呢樣野之前藍絲斬人 ＋ 721佢地做咁多野國際社會有咩反應？,0
死人可能有少少少少，可能或者,0
唔會呀,0
"私了= 外國細路仔打架
#:o)#mf",0
顯示 #1有咩影響睇住香港人任打唔還手，人地笑你on9咋,0
下下淨係掛住國際戰線既外果就係變被動變乞衣靠人施捨,0
唔會,0
兩幫不同政見人士集體打鬥,0
唔會每一拳每一腳都係為左下個受害者唔好出現係正義之舉,0
#:-[#mf#:-[#mf#:-[#mf,0
唔會完,0
"係地區打架,關示威事嗎?明明想扶起佢
#:o)#mf",0
"Wfc
#O:-)#mf",0
唔會,0
顯示 #1唔會有事，呢D佢地經過曬，留過曬血，可能佢地仲會驚奇點解會無打死過人。,0
唔會 市民面對黑社會自衛正常國際戰線照推警黑合作 無問題,0
死唔去既話影響低好多，不過同意做定文宣保持國際線既支持度，始終呢段時間推緊人權法會緊張?,0
"影咩響佢自己現眼報仆街 抵撚死呀呢?叫
#:o)#mf",0
倒返轉就真，香港人要爭氣?，外國先會覺得你值得幫,0
絕對唔會,0
唔會,0
唔會邊個攪記者先?,0
唔撚會,0
on9,0
唔會,0
真係唔洗理咁多，打不還手，挨唔撚到幾耐,0
"比人打 自衛
:)",0
唔會,0
"唔會舉埋腳支持
#dance2#pig",1
唔會 因為係班仆街郁手先,1
唔會,1
唔會完,1
唯一影響係比鬼佬笑我?比人打?幾個月先還拖,0
"小事啦鬼佬睇波完場都打得甘過你
#dance#pig",0
唔會廢post 勿推,1
唔會,0
絕對唔會,0
外國勢力反正都幫唔到你,0
Wfc,0
不會,0
唔會,0
你戇鳩?有冇腦?,0
唔會 唔私了反而會畀鬼佬笑,0
唔會,0
真,0
唔會,0
顯示 #1你一直俾人打唔還手先有影響，外國唔會幫坐係到等人救既人,0
"打黑社會有邊個國家會出聲屌
#haha#dog
#haha#dog",0
唔會,0
依家得自己救到自己,0
唔會 反而手足日後更安全,0
唔會,0
"唔會見到黑社會 市民梗係要保護自己
#good#",0
"又想講影響觀感啊, 鬼佬平時飲醉酒打交都兇狠過今日香港人啦好嗎
#give#dog
#give#dog",0
呢d唔係叫私了呀拿自衛 ok?,0
唔會,0
有冇受影響 係靠和理非做?野 今晚至聽日係要文宣戰? 咁先係勇武+和理非 利申：今日冇出到 宜家做文宣,0
"我以前同D白鬼講, d香港人好驚南亞人, 驚比佢地打同搶野跟住D白鬼同我講, 「驚?驚? 換轉呢度發生我地會打柒佢地, 應該佢地驚我地」我只能同佢講, 真係文化唔同, 香港人就係懦夫
#wail#pig",0
"唔會對家拎國旗打人
#O:-)#mf",0
正常社會反黑,0
唔會,0
唔會,0
點會呢傻豬,0
打擊黑社會人人有責,0
唔會,0
"大家一定要回歸理性, 香港需要的不是極端暴力",0
唔會！,0
唔會,0
唔會,0
要靠文宣解釋：人不犯我，我不犯人。人若犯我，我必打人。,0
唔會,0
"烏克蘭示威者係借鏡所以唔會 係 有一個chapter講文宣既作用就係幫勇武spin等佢地無後顧之憂放心打
#O:-)#mf
#good#mf
#wine#pig",0
我地可以講返俾外國人聽係藍畜打人在先我地自衛還手,0
"無人想理福建幫
#bye#",0
唔會啊分化撚,0
唔覺 依家就算打返人都只係覺得自衛還擊 係應該,0
唔會對方係建制一部份全世界都好清楚,0
唔會,0
唔會,0
"唔會
#yup#",0
100%唔會,0
"你俾人打, 你反手,?正當防禦",0
唔會,0
self defence 國際認可,0
唔會,0
有又點??,0
唔會請善用不推文回覆,0
唔會,0
"唔會, 討伐黑社會一直都係國際共同目標
#fbi#dog",0
"先撩者賤，打死無怨
#wine#pig",0
"其實好少事
#hehe#dog",0
"唔會, 我地要講番點解",0
"真係話你on9驚你嬲
#shocking#pig",0
"姓名：李長源中學：中華基督教會桂華山中學地址：柴灣新廈街柴灣?灣畔樓39樓3915室福建幫，想考警察但係衰過入去考唔到


#:)#dog",0
唔會,0
"今日發生過咩事?
:)",0
唔會,0
好治療！不推文,0
唔會,0
唔會,0
唔會就算會都唔理唔覺得幫到幾多,0
"咪撚on9啦 我地d手足比人打左幾個月啦, 仲要諗咁多野繼續比人打? on9",0
唔會,0
人地郁手先又點會,0
起國際戰線幫我地前都要自己救,0
"打走黑幫 維持社會治安
#whip#pig",0
唔會,0
應該要佢地一隻腳,0
文宣方向拉去警察冇拉過對面?人,0
唔會,0
"又唔係主動去挑機係正當防衛
#:)#pig
#:)#pig
#peanut#pig",0
"even we all people hit, we/world news can spin to just minority of us lor",0
"唔會不過私了?手足盡量唔好打頭打頸，打死?佢就麻煩轉攻手手腳腳關節位
#yup#mf
#yup#mf",0
"外國足球打?完左 你去對家地頭慶祝 你唔死都一身殘啦 成班鄉下佬唔識分莊閒唔緊要 我地慢慢教識佢地
#hehe#",0
"識打一定係打關節同大大力錫佢春袋點解講左咁耐都無錫過佢地春袋
#kill#mf
#kill#mf",0
唔會，唔好幼稚啦香港人。,0
唔會,0
顯示 #1你知唔知外國暴力好多,0
唔會,0
唔會,0
No,0
既然大家已經開始私了 係唔係要講番?法律知識俾大家知下例如 俾狗咬到最重有咩後果 通常會入你?咩罪,0
唔會,0
大力宣揚事實係警犬臥底做！,0
"國際唔係理你暴唔暴力係理你自己主流支唔支持 有冇原因俾佢繼續幫(有合理借口利用打支那)
#O:-)#mf",0
治療到飛起不推文,0
"你都戇鳩 如果人?真係對打交咁潔癖 一早制裁左香港警察 只要唔係偷? 趁火打劫啊 破壞無辜商店等等 其實人?鬼會理你咩
:o)",0
唔會,0
唔會,0
唔會,0
唔會 self defense，討伐黑社會,0
唔會，不過d僂儸仆到一地血後，幾時到民建聯&何妖d柒頭？最後，記得洩憤完要對準政權。,0
唔會不過可能要解釋,0
唔會，比人打唔還手就會,0
"#kill#
#kill#
#kill#
#kill#",0
會被國際知我地已經忍無可忍更加要過人權法,0
求下大家，不要被仇恨所控制！天琦都講,0
唔會,0
外國人會嫌我地唔夠重手,0
最低武力唔好俾仇恨沖昏頭腦唔好打死打殘人就可以全港人都知 你地係保護緊我地,0
唔會,0
唔會,0
唔會,0
"官迫民反
#bark#dog
#bark#dog
#bark#dog
#bark#dog",0
唔會。非常克制又打一警百。加分。,0
唔會你以為Ｃ了係香港唯一全球獨家自創？,0
唔會 不會 NO,0
ON9 你會唔會話Batman唔係正義之師呀?,0
唔會 外國會明白,0
唔會,0
"Don't worry. Twitter will handle it.If there's even any opposition, that is lol",0
唔會,0
"據報有市民於炮台山不小心跌倒, 一群熱心市民爭相把路人扶起",0
"唔割呀
#like#",0
顯示 #1咁你下次比人打唔好還手,0
唔會完全無但無人叫你FOCUS係呢D野度,0
只會有正面影響！,0
還手，唔比佢打傷自己有咩問題？企定定比佢打咁笨柒。。放心唔會。。。,0
片都delete左，冇人推，相信團結的香港人,0
鄉警合作 無人執法 人民逼於無奈,0
唔會,0
Ｃ了係香港唯一全球獨家原創作品？,0
會 我地打黑社會會加分,0
唔會,0
唔會,0
唔會,0
唔會,0
影你老母咩 打果幾下示威者比狗隻不人道虐待呀,0
[369],0
唔私了 就會,0
ON撚9 人地覺得咁做先正常呀柒頭被人傻鳩鳩咁打唔還手 被人笑鳩左好耐啦exac7ly,0
會,0
與其擔心，不如一齊文宣輿論解釋返私了係因為黑警袖手旁觀助紂為虐啦我仲好記得點解71當時，大家唔係擔心外界點睇，係同仇敵愾地用鋪天蓋地?文宣輿論保護前線手足呀我地再?多次，核彈都唔割！,0
唔會,0
唔會,0
唔會,0
唔會,0
條友自己仆親又屈人打佢？,0
唔會,0